,,,,,,,מפה 1,,מפה 5,,מפה 4 - עירוניים בלבד,מפה 2,מפה 3,הפרש 5-1,מפת ההשתתפות של המדינה בתקציב הרשויות
שם  הרשות,,מעמד מוניציפלי,שיטת חישוב שטח ברשות,"אשכול חברתי-כלכלי (1 נמוך, 10 גבוה)   ",סמל הרשות,"סה""כ  אוכלוסייה בסוף השנה (אלפים)",תעריף נורמטיבי למגורים,תעריף ממוצע למגורים לפי נתוני החיוב למגורים,תעריף בפועל לפי סקר תעריפי הארנונה של המרכז לשלטון מקומי,שטח ממוצע לדירה (נטו),מדד יוקר הארנונה,תעריף מלאכה ותעשייה נדרש,תעריף עסקים אחרים נדרש,,"השתתפות המדינה לתושב תקציב הכולל (ש""ח לתושב לשנה)"
נצרת עילית,natsrat_ilit,עירייה,ברוטו-ברוטו,5,1061,40.3,47.97,37.10,49.86,69.86,1037.85,54.29,108.58,1.89,2712.00
נשר,nesher,עירייה,ברוטו-ברוטו,7,2500,23.5,52.89,33.62,45.10,70.20,860.31,76.11,152.23,-7.79,1815.00
נתיבות,netivot,עירייה,ברוטו-ברוטו,3,0246,30.3,44.79,32.64,43.84,73.57,781.03,43.52,87.05,-0.95,4443.00
נתניה,netanya,עירייה,ברוטו,5,7400,202.4,47.97,57.38,67.82,81.52,2016.43,74.16,148.31,19.85,2148.00
סאג'ור,sajur,מועצה מקומית,ברוטו-ברוטו,3,0525,4,44.79,33.17,44.57,122.42,502.78,39.83,79.65,-0.22,4885.00
סביון*,savyon,מועצה מקומית,ברוטו-ברוטו,10,0587,3.6,76.93,39.08,52.31,312.49,278.53,112.32,224.64,-24.62,1205.00
סח'נין,sahnin,עירייה,ברוטו-ברוטו,2,7500,28.6,43.91,,,,,34.94,69.88,-43.91,
עומר,omer,מועצה מקומית,ברוטו-ברוטו,10,0666,7.3,76.93,55.00,73.84,134.89,1220.13,59.90,119.80,-3.09,5074.00
עיילבון,ilabun,מועצה מקומית,ברוטו-ברוטו,4,0530,5.4,45.69,32.68,43.90,87.09,672.30,39.94,79.86,-1.78,3776.00
עילוט,ilut,מועצה מקומית,ברוטו,2,0511,7.4,43.91,32.64,38.36,129.78,460.65,34.94,69.88,-5.55,4764.00
עין מאהל,eyn_mahel,מועצה מקומית,#VALUE!,2,0532,12.3,43.91,,,,,34.94,69.88,-43.91,
עין קנייא,eyn_kinya,מועצה מקומית,ברוטו-ברוטו,2,4502,1.9,43.91,32.68,43.88,85.66,682.31,34.94,69.88,-0.03,6141.00
עכו,acre_ako,עירייה,ברוטו-ברוטו,4,7600,47.5,45.69,41.49,55.86,64.71,1355.00,39.94,79.86,10.18,3411.00
עמנואל,emanuel,מועצה מקומית,נטו,2,3660,3.2,43.91,33.11,34.42,83.30,717.62,47.65,95.30,-9.49,7232.00
עמק הירדן,emek_hayarden,מועצה אזורית,ברוטו-ברוטו,5,06,12.4,43.17,32.62,43.83,,,32.80,71.81,0.66,6249.00
עמק המעיינות,emek_hamaayanot,מועצה אזורית,ברוטו-ברוטו,5,07,12,43.17,34.95,46.99,,,45.15,90.31,3.82,7128.00
עמק חפר,emek_hefer,מועצה אזורית,ברוטו-ברוטו,8,16,41.1,52.35,41.86,56.28,,,90.64,181.27,3.93,3078.00
עמק יזרעאל,emek_yizrael,מועצה אזורית,ברוטו-ברוטו,7,09,35.9,47.60,36.16,48.56,,,64.92,129.86,0.96,3701.00
עמק לוד,emek_lod,מועצה אזורית,ברוטו-ברוטו,5,40,14.4,43.17,34.45,46.32,,,81.14,162.26,3.15,2821.00
עספיא,ossfiya,מועצה מקומית,ברוטו-ברוטו,4,0534,11.7,45.69,33.56,45.68,82.33,744.32,,,0.00,3308.00
עפולה,afula,עירייה,ברוטו-ברוטו,5,7700,43.8,47.97,34.65,46.53,81.66,796.50,53.12,106.25,-1.44,2828.00
עראבה,arabe,מועצה מקומית,ברוטו-ברוטו,2,0531,23.5,43.91,32.70,43.92,98.55,600.10,22.55,45.11,0.01,4121.00
ערבות הירדן,arvot_hayarden,מועצה אזורית,ברוטו-ברוטו,6,75,4.2,45.33,33.28,44.71,,,24.65,49.30,-0.62,13504.00
ערד,arad,עירייה,ברוטו-ברוטו,5,2560,24.2,47.97,40.20,54.08,74.21,1143.44,29.00,58.00,6.11,2838.00
ערערה,arara,מועצה מקומית,ברוטו-ברוטו,2,0637,23.6,43.91,33.34,44.79,128.67,484.30,49.08,98.16,0.89,2986.00
ערערה-בנגב,arara_banegev,מועצה מקומית,#VALUE!,2,1192,15.3,43.91,33.07,,,,38.08,76.17,-43.91,3044.00
פוריידיס,furaydis,מועצה מקומית,ברוטו-ברוטו,2,0537,12.1,43.91,,,,,49.08,98.16,-43.91,
פסוטה,fasuta,מועצה מקומית,ברוטו-ברוטו,4,0535,3,45.69,33.80,45.39,90.33,693.52,33.86,67.70,-0.29,4712.00
פקיעין (בוקייעה),pkiin_bukea,מועצה מקומית,ברוטו-ברוטו,4,0536,5.6,45.69,32.81,44.06,80.69,725.85,39.83,79.65,-1.62,5089.00
פרדס חנה-כרכור,pardes_hana_karkur,מועצה מקומית,ברוטו-ברוטו,6,7800,36.7,50.37,41.76,56.17,94.05,999.90,63.11,126.21,5.81,2405.00
פרדסייה,pardesiya,מועצה מקומית,ברוטו-ברוטו,6,0171,5.4,50.37,44.05,59.30,140.75,765.41,74.16,148.31,8.93,2609.00
פתח תקווה,petah_tikva,עירייה,ברוטו,6,7900,225.4,50.37,60.16,71.10,75.97,2308.37,96.88,193.75,20.73,1726.00
צפת,tsfat,עירייה,נטו,4,8000,32.9,45.69,38.22,38.01,92.59,857.40,30.89,61.77,-7.68,3522.00
קדומים,kdumim,מועצה מקומית,ברוטו-ברוטו,5,3557,4.2,47.97,43.66,58.82,96.66,1061.22,61.26,122.53,10.85,6690.00
קדימה-צורן,kadima_tsoran,מועצה מקומית,ברוטו-ברוטו,7,0195,19.6,52.89,45.66,61.45,111.37,1017.97,90.64,181.27,8.56,1815.00
קלנסווה,kalanswa,עירייה,ברוטו-ברוטו,2,0638,21,43.91,32.85,44.12,89.56,661.57,57.68,115.35,0.21,2349.00
קצרין,katsrin,מועצה מקומית,ברוטו-ברוטו,5,4100,6.8,47.97,33.32,44.73,75.42,794.07,28.52,62.44,-3.24,5910.00
קריית אונו,kiryat_ono,עירייה,ברוטו-ברוטו,8,2620,36.6,58.17,59.40,80.10,80.59,2161.63,116.78,233.57,21.93,2468.00
קריית ארבע,kiryat_arba,מועצה מקומית,ברוטו-ברוטו,4,3611,7,45.69,33.74,45.32,73.82,828.61,46.29,92.58,-0.36,7721.00
קריית אתא,kiryat_ata,עירייה,ברוטו-ברוטו,5,6800,54.3,47.97,42.92,57.79,74.77,1281.60,62.27,124.55,9.82,2752.00
קריית ביאליק,kiryat_biyalik,עירייה,ברוטו-ברוטו,6,9500,39,50.37,50.05,67.48,73.93,1706.70,62.27,124.55,17.12,1592.00
קריית גת,kiryat_gat,עירייה,ברוטו-ברוטו,4,2630,50.6,45.69,39.13,52.65,71.53,1122.31,57.51,115.02,6.97,3367.00
קריית טבעון,kiryat_tivon,מועצה מקומית,ברוטו-ברוטו,8,2300,17.6,58.17,42.84,57.53,106.63,937.60,64.69,129.39,-0.64,2524.00
קריית ים,kiryat_yam,עירייה,ברוטו-ברוטו,5,9600,38.9,47.97,45.09,60.74,63.82,1588.95,62.27,124.55,12.78,3222.00
קריית יערים,kiryat_yearim,מועצה מקומית,ברוטו-ברוטו,3,1137,3.8,44.79,39.65,53.40,106.83,807.24,54.60,109.19,8.61,4568.00
קריית מוצקין,kiryat_motskin,עירייה,ברוטו-ברוטו,6,8200,39.6,50.37,50.33,67.87,71.77,1763.59,62.27,124.55,17.50,2476.00
קריית מלאכי,kiryat_malahi,עירייה,ברוטו-ברוטו,4,1034,21.3,45.69,38.93,52.35,76.75,1047.13,57.51,115.02,6.66,4153.00
קריית עקרון,kiryat_ekron,מועצה מקומית,ברוטו-ברוטו,5,0469,10.7,47.97,40.71,54.78,94.11,952.41,77.01,154.03,6.81,2645.00
קריית שמונה,kiryat_shmona,עירייה,ברוטו-ברוטו,5,2800,23.1,47.97,32.84,44.07,79.00,741.10,34.75,69.49,-3.90,4352.00
קרני שומרון,kernei_shomron,מועצה מקומית,ברוטו-ברוטו,6,3640,6.7,50.37,34.00,45.64,112.18,573.27,61.26,122.53,-4.73,6428.00
ראמה,rame,מועצה מקומית,ברוטו-ברוטו,4,0543,7.3,45.69,33.95,45.62,109.12,586.78,39.83,79.65,-0.07,5295.00
ראש העין,rosh_haayin,עירייה,ברוטו-ברוטו,6,2640,42.2,50.37,42.62,57.41,96.43,1016.40,84.24,168.48,7.04,2877.00
ראש פינה,rosh_pina,מועצה מקומית,ברוטו-ברוטו,7,0026,2.9,52.89,34.15,45.81,105.32,613.37,42.47,84.93,-7.08,2130.00
ראשון לציון,rishon_letsiyon,עירייה,ברוטו,6,8300,240.7,50.37,53.95,63.68,87.93,1701.01,88.56,177.13,13.32,1981.00
רהט,rahat,עירייה,ברוטו-ברוטו,2,1161,60.4,43.91,32.68,43.89,176.45,342.91,38.08,76.17,-0.01,3084.00
רחובות,rehovot,עירייה,ברוטו,6,8400,128.9,50.37,58.77,69.43,78.41,2165.52,88.56,177.13,19.06,2139.00
ריינה,reyne,מועצה מקומית,ברוטו-ברוטו,3,0542,18.2,44.79,32.79,44.04,114.34,524.82,48.26,96.51,-0.74,2851.00
רכסים,rehasim,מועצה מקומית,ברוטו-ברוטו,2,0922,10.3,43.91,30.66,41.15,80.22,641.47,41.17,82.34,-2.75,3407.00
רמלה,ramla,עירייה,ברוטו-ברוטו,4,8500,72.3,45.69,37.83,50.88,69.82,1076.18,72.12,144.23,5.19,2809.00
רמת גן,ramat_gan,עירייה,נטו,7,8600,150.9,52.89,62.76,65.52,81.68,2356.06,134.29,268.61,12.63,1866.00
רמת השרון,ramat_hasharon,עירייה,ברוטו-ברוטו,9,2650,44.1,66.90,59.22,79.73,109.64,1680.45,108.28,216.59,12.83,1922.00
רמת ישי,ramat_yishay,מועצה מקומית,ברוטו-ברוטו,8,0122,7.5,58.17,43.89,58.96,118.94,888.98,64.92,129.86,0.79,1563.00
רמת נגב,ramat_negev,מועצה אזורית,ברוטו-ברוטו,5,48,6.4,43.17,39.26,52.88,,,53.12,106.25,9.71,7130.00
רעננה,raanana,עירייה,ברוטו-ברוטו,8,8700,70.2,58.17,45.98,61.80,110.50,1038.83,102.96,205.92,3.63,2136.00
שבלי - אום אל-גנם,shibli_um_al_ranem,מועצה מקומית,ברוטו-ברוטו,2,0913,5.6,43.91,32.70,43.93,96.30,613.41,55.69,111.38,0.02,4332.00
שגב-שלום,segev_shalom,מועצה מקומית,ברוטו,2,1286,8.8,43.91,32.95,38.73,127.15,478.64,38.08,76.17,-5.17,5119.00
שדות נגב,sdot_negev,מועצה אזורית,ברוטו-ברוטו,5,39,9.1,43.17,34.13,45.87,,,48.96,97.93,2.70,8833.00
שדרות,sderot,עירייה,ברוטו-ברוטו,4,1031,22.5,45.69,34.92,46.92,69.97,926.07,48.89,97.76,1.23,5744.00
שוהם,shoham,מועצה מקומית,ברוטו-ברוטו,8,1304,20,58.17,46.01,61.85,117.47,984.26,84.29,168.57,3.68,2751.00
שומרון,shomron,מועצה אזורית,ברוטו-ברוטו,5,72,34.1,43.17,34.52,46.40,,,52.07,104.15,3.23,7320.00
שלומי,shlomi,מועצה מקומית,ברוטו-ברוטו,5,0812,6.3,47.97,33.10,44.43,95.34,633.57,44.81,89.60,-3.54,3562.00
שעב,shaab,מועצה מקומית,ברוטו-ברוטו,2,0538,6.5,43.91,32.70,43.93,80.93,719.33,34.94,69.88,0.03,4823.00
שער הנגב,shaar_hanegev,מועצה אזורית,ברוטו-ברוטו,6,37,7.2,45.33,37.35,50.24,,,55.00,109.98,4.91,11829.00
שפיר,shafir,מועצה אזורית,נטו,5,34,10.3,43.17,32.23,35.00,,,64.70,129.39,-8.17,6228.00
שפרעם,shfaram,עירייה,ברוטו-ברוטו,3,8800,39.2,44.79,33.16,44.54,95.44,635.43,45.93,91.84,-0.24,2440.00
תל אביב -יפו,tel_aviv_yafo,עירייה,נטו,8,5000,426.1,58.17,47.75,49.64,76.54,1525.75,134.29,268.61,-8.54,1632.00
תל מונד,tel_mond,מועצה מקומית,ברוטו-ברוטו,9,0154,11.7,66.90,43.90,58.90,120.60,877.97,98.88,197.75,-8.01,3480.00
תל שבע,tel_sheva,מועצה מקומית,ברוטו-ברוטו,1,1054,18.1,43.91,33.53,45.05,169.56,375.09,38.08,76.17,1.14,2836.00
תמר,tamar,מועצה אזורית,ברוטו-ברוטו,5,51,1.4,43.17,33.20,44.63,,,29.00,58.00,1.46,7967.00
