,,,,,,,מפה 1,,מפה 5,,מפה 4 - עירוניים בלבד,מפה 2,מפה 3,הפרש 5-1,מפת ההשתתפות של המדינה בתקציב הרשויות
שם  הרשות,,מעמד מוניציפלי,שיטת חישוב שטח ברשות,"אשכול חברתי-כלכלי (1 נמוך, 10 גבוה)   ",סמל הרשות,"סה""כ  אוכלוסייה בסוף השנה (אלפים)",תעריף נורמטיבי למגורים,תעריף ממוצע למגורים לפי נתוני החיוב למגורים,תעריף בפועל לפי סקר תעריפי הארנונה של המרכז לשלטון מקומי,שטח ממוצע לדירה (נטו),מדד יוקר הארנונה,תעריף מלאכה ותעשייה נדרש,תעריף עסקים אחרים נדרש,,"השתתפות המדינה לתושב תקציב הכולל (ש""ח לתושב לשנה)"
חוף השרון,hof_hasharon,מועצה אזורית,ברוטו-ברוטו,8,19,14.4,52.35,39.17,52.61,,,90.64,181.27,0.25,1635.00
חורה,hura,מועצה מקומית,#VALUE!,2,1303,18.8,43.91,37.10,,,,38.08,76.17,-43.91,6188.00
חורפיש,hurfeish,מועצה מקומית,ברוטו-ברוטו,3,0496,6,44.79,33.15,44.53,107.83,566.40,33.86,67.70,-0.26,5018.00
חיפה,haifa,עירייה,נטו,7,4000,277.1,52.89,62.37,65.12,77.93,2412.06,76.11,152.23,12.23,1868.00
חצור הגלילית,hatsor_haglilit,מועצה מקומית,ברוטו-ברוטו,3,2034,8.8,44.79,35.11,47.18,80.47,827.79,30.89,61.77,2.40,4978.00
חריש,harish,מועצה מקומית,#VALUE!,7,1247,1,52.89,,,,,,,-52.89,
טבריה,tverya_tiberias,עירייה,ברוטו-ברוטו,4,6700,42.3,45.69,34.83,46.80,79.15,827.16,40.57,81.14,1.11,3011.00
טורעאן,turan,מועצה מקומית,ברוטו,3,0498,13,44.79,32.68,38.40,110.46,538.70,41.02,82.04,-6.39,4545.00
טייבה,taybe,עירייה,#VALUE!,3,2730,40.2,44.79,,,,,65.92,131.83,-44.79,3077.00
טירה,tira,עירייה,ברוטו-ברוטו,3,2720,24.4,44.79,32.67,43.87,108.85,545.75,65.92,131.83,-0.91,2909.00
טירת כרמל,tirat_karmel,עירייה,ברוטו-ברוטו,4,2100,18.9,45.69,32.70,43.90,62.61,901.59,47.05,94.11,-1.78,3873.00
טמרה,tamra,עירייה,ברוטו-ברוטו,3,8900,31.7,44.79,33.13,44.50,104.75,581.45,39.94,79.86,-0.29,3870.00
יאנוח-ג'ת,yanuh_jat,מועצה מקומית,ברוטו-ברוטו,3,1295,6.2,44.79,32.90,44.18,94.81,629.51,39.94,79.86,-0.60,5340.00
יבנאל,yavneel,מועצה מקומית,ברוטו-ברוטו,4,0046,4.1,45.69,41.31,55.64,109.83,851.39,40.57,81.14,9.95,3896.00
יבנה,yavne,עירייה,ברוטו-ברוטו,5,2660,39.7,47.97,44.36,59.74,83.31,1243.52,77.01,154.03,11.77,2526.00
יהוד,yehud_monoson,עירייה,ברוטו-ברוטו,7,9400,28.5,52.89,48.44,65.25,94.50,1314.73,102.96,205.92,12.36,1265.00
יואב,yoav,מועצה אזורית,ברוטו-ברוטו,7,35,7.8,47.60,33.41,44.86,,,79.08,158.15,-2.74,4750.00
יסוד המעלה,yesud_hamaala,מועצה מקומית,ברוטו-ברוטו,8,0029,1.7,58.17,42.33,56.83,138.95,717.03,42.47,84.93,-1.34,2693.00
יפיע,yafia,מועצה מקומית,ברוטו-ברוטו,3,0499,17.9,44.79,32.78,44.02,92.85,637.35,48.26,96.51,-0.76,3600.00
יקנעם עילית,yokneam_ilit,עירייה,ברוטו-ברוטו,6,0240,21.1,50.37,36.29,48.74,76.85,917.27,53.12,106.25,-1.63,3783.00
ירוחם,yeroham,מועצה מקומית,ברוטו-ברוטו,4,0831,9,45.69,35.89,48.23,64.77,1040.26,25.78,51.55,2.55,5558.00
ירושלים,jerusalem_yerushalayim,עירייה,נטו,4,3000,849.8,45.69,72.21,75.73,74.84,3175.26,73.87,147.73,30.05,2618.00
ירכא,yirka,מועצה מקומית,ברוטו-ברוטו,2,0502,16,43.91,32.68,43.90,83.42,699.04,34.85,69.69,-0.01,3330.00
כאבול,kabul,מועצה מקומית,ברוטו,2,0504,13,43.91,32.80,38.55,116.45,515.93,34.94,69.88,-5.36,3644.00
כאוכב אבו אל-היג'א,kawkab_abu_al_hija,מועצה מקומית,ברוטו-ברוטו,2,0505,3.2,43.91,32.09,43.09,91.17,622.37,34.94,69.88,-0.81,8689.00
כוכב יאיר,kohav_yair,מועצה מקומית,ברוטו-ברוטו,9,1224,9.1,66.90,53.08,71.36,135.54,1135.31,95.47,190.94,4.46,1586.00
כסיפה,kseyfe,מועצה מקומית,ברוטו,2,1059,18.6,43.91,32.15,37.77,200.30,293.19,38.08,76.17,-6.14,2678.00
כסרא-סמיע,Kisra_Sume'a,מועצה מקומית,ברוטו-ברוטו,2,1296,8,43.91,32.70,43.93,104.95,565.77,34.85,69.69,0.02,4130.00
כעביה-טבאש-חג'אג'רה,kaabiya_tabash_hajajre,מועצה מקומית,ברוטו,3,0978,4.8,44.79,37.01,43.55,105.05,718.43,47.22,94.44,-1.24,4360.00
כפר ברא,kafar_bara,מועצה מקומית,ברוטו-ברוטו,3,0633,3.3,44.79,38.46,51.72,119.72,684.82,63.65,127.30,6.94,4950.00
כפר ורדים,kfar_vradim,מועצה מקומית,ברוטו-ברוטו,9,1263,5.5,66.90,51.70,69.50,153.09,964.72,59.75,119.47,2.59,5719.00
כפר יאסיף,kfar_yasif,מועצה מקומית,ברוטו-ברוטו,4,0507,9.4,45.69,33.67,45.22,100.59,623.18,39.83,79.65,-0.46,3659.00
כפר יונה,kfar_yona,עירייה,ברוטו-ברוטו,7,0168,21.2,52.89,38.23,51.34,103.62,774.17,90.64,181.27,-1.55,3103.00
כפר כמא,kfar_kama,מועצה מקומית,ברוטו-ברוטו,4,0508,3.1,45.69,32.99,44.30,81.86,723.98,65.92,131.83,-1.39,4127.00
כפר כנא,kfar_kana,מועצה מקומית,ברוטו-ברוטו,2,0509,20.8,43.91,37.13,49.96,104.95,723.42,42.22,84.45,6.05,3160.00
כפר מנדא,kfar_manda,מועצה מקומית,ברוטו-ברוטו,2,0510,18.1,43.91,32.58,43.76,84.62,685.99,34.94,69.88,-0.14,4617.00
כפר סבא,kfar_saba,עירייה,ברוטו-ברוטו,8,6900,94.2,58.17,46.89,63.04,98.78,1190.54,102.96,205.92,4.87,2405.00
כפר קאסם,kafar_kasem,עירייה,ברוטו-ברוטו,3,0634,21.4,44.79,37.05,49.83,130.52,587.08,34.48,68.97,5.04,3366.00
כפר קרע,kafar_kara,מועצה מקומית,ברוטו-ברוטו,4,0654,17.4,45.69,32.96,44.27,91.20,655.00,56.10,112.18,-1.42,3177.00
כפר שמריהו,kfar_shmaryahu,מועצה מקומית,ברוטו-ברוטו,10,0267,1.9,76.93,49.54,66.45,293.83,474.05,108.28,216.59,-10.48,1655.00
כפר תבור,kfar_tavor,מועצה מקומית,ברוטו-ברוטו,8,0047,3.6,58.17,48.22,64.85,112.98,1114.43,55.78,111.56,6.68,3625.00
כרמיאל,karmiel,עירייה,ברוטו-ברוטו,5,1139,44.6,47.97,41.43,55.75,77.89,1160.51,44.93,89.85,7.79,1934.00
לב השרון,lev_hasharon,מועצה אזורית,ברוטו-ברוטו,8,18,22.7,52.35,35.66,47.86,,,90.64,181.27,-4.50,3464.00
להבים,lehavim,מועצה מקומית,ברוטו-ברוטו,9,1271,6.4,66.90,44.59,59.83,164.01,678.31,65.28,130.57,-7.07,1461.00
לוד,lod,עירייה,ברוטו-ברוטו,4,7000,72.2,45.69,37.03,49.99,67.81,1060.72,72.12,144.23,4.31,2947.00
לכיש,lahish,מועצה אזורית,ברוטו-ברוטו,5,50,10.2,43.17,33.69,45.29,,,55.00,109.98,2.12,5580.00
לקיה,lakiye,מועצה מקומית,ברוטו,1,1060,11.2,43.91,33.62,39.52,147.57,431.43,38.08,76.17,-4.38,4413.00
מבואות החרמון,mevoot_hahermon,מועצה אזורית,ברוטו-ברוטו,6,55,6.8,45.33,31.84,42.74,,,34.75,69.49,-2.59,6793.00
מבשרת ציון,mevaseret_tsiyon,מועצה מקומית,ברוטו-ברוטו,8,1015,24.3,58.17,59.02,79.60,108.79,1681.09,88.32,176.64,21.43,2554.00
מג'ד אל-כרום,majd_al_krum,מועצה מקומית,#VALUE!,2,0516,14.5,43.91,32.68,,,,,,-43.91,3940.00
מג'דל שמס,majdel_shams,מועצה מקומית,ברוטו-ברוטו,2,4201,10.5,43.91,32.75,44.00,76.90,755.62,22.18,48.57,0.09,2722.00
מגאר,mrar,מועצה מקומית,ברוטו,2,0481,21.3,43.91,32.66,38.38,101.52,582.51,22.18,48.57,-5.53,4117.00
מגדל,migdal,מועצה מקומית,ברוטו-ברוטו,5,0065,1.8,47.97,40.96,55.13,106.25,863.44,45.64,91.28,7.16,4203.00
מגדל העמק,migdal_haemek,עירייה,ברוטו-ברוטו,5,0874,24.8,47.97,35.62,47.85,71.34,945.22,54.29,108.58,-0.12,3124.00
מגידו,megido,מועצה אזורית,ברוטו-ברוטו,6,13,11.3,45.33,33.83,45.43,,,53.12,106.25,0.10,3926.00
מגילות ים המלח,megilot_yam_hamelach,מועצה אזורית,ברוטו-ברוטו,5,74,1.2,43.17,32.71,43.90,,,52.07,104.15,0.73,19468.00
מודיעין-מכבים-רעות*,modiin_makabim_reut,עירייה,ברוטו-ברוטו,8,1200,87,58.17,41.03,55.09,118.72,782.40,84.29,168.57,-3.08,3245.00
מודיעין עילית,modiin_ilit,עירייה,ברוטו-ברוטו,1,3797,63.2,43.91,34.27,46.06,84.93,753.03,47.65,95.30,2.15,2701.00
מזכרת בתיה,mazkeret_batya,מועצה מקומית,ברוטו-ברוטו,8,0028,11.9,58.17,46.90,62.97,96.44,1216.26,94.13,188.25,4.79,1863.00
מזרעה,mazraa,מועצה מקומית,ברוטו,2,0517,3.6,43.91,33.33,39.16,95.95,638.42,34.85,69.69,-4.75,4092.00
מטה אשר,mate_asher,מועצה אזורית,ברוטו-ברוטו,6,04,25.8,45.33,33.38,44.85,,,44.81,89.60,-0.48,5209.00
מטה בנימין,mate_binyamin,מועצה אזורית,ברוטו-ברוטו,5,73,57,43.17,35.40,47.59,,,61.26,122.53,4.42,6175.00
מטה יהודה,mate_yehuda,מועצה אזורית,ברוטו-ברוטו,6,26,51.5,45.33,36.91,49.63,,,61.42,122.84,4.30,3405.00
מטולה,metula,מועצה מקומית,ברוטו-ברוטו,7,0043,1.6,52.89,37.92,50.93,115.52,689.25,36.10,72.19,-1.96,3808.00
מיתר,meitar,מועצה מקומית,ברוטו-ברוטו,9,1268,7.1,66.90,50.10,67.27,144.75,956.33,65.28,130.57,0.36,2297.00
מנשה,menashe,מועצה אזורית,ברוטו-ברוטו,6,14,18.6,45.33,33.32,44.83,,,63.11,126.21,-0.50,4159.00
מסעדה,masade,מועצה מקומית,ברוטו-ברוטו,2,4203,3.4,43.91,32.85,44.14,89.81,660.13,22.18,48.57,0.23,6193.00
מעיליא,miilya,מועצה מקומית,ברוטו,5,0518,3.2,47.97,32.68,38.39,116.35,512.78,44.81,89.60,-9.58,3697.00
מעלה אדומים,maale_adomim,עירייה,ברוטו-ברוטו,5,3616,37.4,47.97,42.47,57.20,93.78,1034.60,61.26,122.53,9.23,2960.00
מעלה אפרים,maale_efraim,מועצה מקומית,ברוטו-ברוטו,5,3608,1.1,47.97,34.49,46.29,76.73,834.66,52.07,104.15,-1.68,12561.00
מעלה יוסף,maale_yosef,מועצה אזורית,ברוטו-ברוטו,5,52,9.6,43.17,31.81,42.74,,,38.09,76.16,-0.44,8638.00
מעלה עירון,maale_iron,מועצה מקומית,ברוטו-ברוטו,2,1327,13.9,43.91,32.68,43.90,102.02,580.51,41.72,83.44,0.00,3247.00
מעלות-תרשיחא,maalot_tarshiha,עירייה,ברוטו-ברוטו,5,1063,21.2,47.97,37.12,49.89,77.56,949.29,44.81,89.60,1.92,3349.00
מצפה רמון,mitspe_ramon,מועצה מקומית,ברוטו-ברוטו,4,0099,5,45.69,35.93,48.28,95.00,744.48,25.78,51.55,2.59,5118.00
מרום הגליל,merom_hagalil,מועצה אזורית,ברוטו-ברוטו,5,02,14.6,43.17,32.67,43.90,,,34.75,69.49,0.72,6405.00
מרחבים,merhavim,מועצה אזורית,ברוטו-ברוטו,5,42,12.4,43.17,33.52,45.06,,,48.96,97.93,1.88,5710.00
משגב,misgav,מועצה אזורית,ברוטו-ברוטו,7,56,26,47.60,35.24,49.74,,,54.91,109.81,2.14,4597.00
משהד,mishad,מועצה מקומית,ברוטו-ברוטו,2,0520,7.7,43.91,34.93,46.97,103.98,648.74,42.22,84.45,3.06,3378.00
נהרייה,nahariya,עירייה,ברוטו-ברוטו,5,9100,53.9,47.97,47.98,64.70,72.96,1599.40,44.81,89.60,16.73,2845.00
נחל שורק,nahal_sorek,מועצה אזורית,ברוטו,4,31,8.2,41.12,33.02,38.85,,,58.19,116.38,-2.27,7305.00
נחף,nahef,מועצה מקומית,ברוטו-ברוטו,2,0522,11.9,43.91,33.86,45.49,87.96,712.76,34.85,69.69,1.59,4886.00
נס ציונה,nes_tsiyona,עירייה,ברוטו-ברוטו,7,7200,45.8,52.89,44.28,59.58,102.79,1032.02,108.25,216.49,6.69,2363.00
נצרת,nazareth_natsrat,עירייה,ברוטו-ברוטו,3,7300,74.6,44.79,33.10,44.45,98.06,617.27,55.49,110.99,-0.33,2240.00
